Slot Name,Form
app_name,validate_dockerfile_form
build_tool,validate_dockerfile_form
build_type,validate_dockerfile_form
deploy_stage_enabled,validate_cicd_form
deployment_name,validate_cicd_form
docker_email,validate_kubernetes_form
docker_password,validate_kubernetes_form
docker_registry,validate_kubernetes_form
docker_username,validate_kubernetes_form
entrypoint,validate_dockerfile_form
helm_path,validate_cicd_form
image_pull_secret_name,validate_kubernetes_form
image_version,validate_dockerfile_form
ingress_class,validate_kubernetes_form
jar_dest,validate_dockerfile_form
kube_context,validate_cicd_form
kubeconfig_path,validate_cicd_form
kubernetes_app_name,validate_kubernetes_form
kubernetes_container_port,validate_kubernetes_form
kubernetes_cpu_max,validate_kubernetes_form
kubernetes_cpu_req,validate_kubernetes_form
kubernetes_domain,validate_kubernetes_form
kubernetes_env_vars,validate_kubernetes_form
kubernetes_image,validate_kubernetes_form
kubernetes_ingress_enabled,validate_kubernetes_form
kubernetes_ingress_paths,validate_kubernetes_form
kubernetes_mem_max,validate_kubernetes_form
kubernetes_mem_req,validate_kubernetes_form
kubernetes_no_root_enabled,validate_kubernetes_form
kubernetes_replicas,validate_kubernetes_form
kubernetes_secret_enabled,validate_kubernetes_form
kubernetes_secret_name,validate_kubernetes_form
kubernetes_secrets,validate_kubernetes_form
kubernetes_tls_enabled,validate_kubernetes_form
kubernetes_tls_issuer,validate_kubernetes_form
kubernetes_tls_secret_name,validate_kubernetes_form
language,validate_dockerfile_form
manifests_path,validate_cicd_form
namespace,validate_cicd_form
package_manager,validate_dockerfile_form
pipeline_name,validate_cicd_form
platform,validate_cicd_form
port,validate_dockerfile_form
registry_repository_url,validate_cicd_form
registry_url,validate_cicd_form
security_scans_enabled,validate_cicd_form
test_stage_enabled,validate_cicd_form
use_helm,validate_cicd_form
use_private_registry,validate_kubernetes_form
